task_id,condition,run_number,correct,rubric_score,shae_c,response_length,tokens_used,wall_clock_seconds,task_type,meta_category,difficulty
T01,baseline,1,1,1.0,1.0,580,343,4.77,A1,A,easy
T01,baseline,2,1,1.0,1.0,520,340,11.08,A1,A,easy
T01,baseline,3,1,1.0,1.0,520,344,11.64,A1,A,easy
T01,baseline,4,1,1.0,1.0,517,336,5.16,A1,A,easy
T01,baseline,5,1,1.0,1.0,548,344,8.45,A1,A,easy
T01,chain-of-thought,1,1,1.0,1.0,1860,713,11.23,A1,A,easy
T01,chain-of-thought,2,1,1.0,1.0,2150,798,10.31,A1,A,easy
T01,chain-of-thought,3,1,1.0,1.0,1451,651,8.3,A1,A,easy
T01,chain-of-thought,4,1,1.0,1.0,1974,750,9.53,A1,A,easy
T01,chain-of-thought,5,1,1.0,1.0,2028,759,19.81,A1,A,easy
T01,arc-informed,1,1,1.0,1.0,2085,804,7.39,A1,A,easy
T01,arc-informed,2,1,1.0,1.0,2278,861,11.28,A1,A,easy
T01,arc-informed,3,1,1.0,1.0,2322,861,8.01,A1,A,easy
T01,arc-informed,4,1,1.0,1.0,2126,846,11.38,A1,A,easy
T01,arc-informed,5,1,1.0,1.0,2023,800,7.91,A1,A,easy
T02,baseline,1,1,1.0,1.0,405,364,6.86,A1,A,easy
T02,baseline,2,1,1.0,1.0,405,364,2.25,A1,A,easy
T02,baseline,3,1,1.0,1.0,413,365,2.3,A1,A,easy
T02,baseline,4,1,1.0,1.0,386,361,2.78,A1,A,easy
T02,baseline,5,1,1.0,1.0,408,364,4.31,A1,A,easy
T02,chain-of-thought,1,1,1.0,1.0,1403,637,9.5,A1,A,easy
T02,chain-of-thought,2,1,1.0,1.0,1950,754,7.83,A1,A,easy
T02,chain-of-thought,3,1,1.0,1.0,1579,674,6.88,A1,A,easy
T02,chain-of-thought,4,1,1.0,1.0,1568,682,4.22,A1,A,easy
T02,chain-of-thought,5,1,1.0,1.0,1426,649,4.34,A1,A,easy
T02,arc-informed,1,1,1.0,1.0,2185,869,11.7,A1,A,easy
T02,arc-informed,2,1,1.0,1.0,2354,915,10.97,A1,A,easy
T02,arc-informed,3,1,1.0,1.0,1681,744,14.89,A1,A,easy
T02,arc-informed,4,1,1.0,1.0,1831,776,9.14,A1,A,easy
T02,arc-informed,5,1,1.0,1.0,1444,704,10.11,A1,A,easy
T03,baseline,1,1,0.67,1.0,480,369,4.94,A1,A,medium
T03,baseline,2,1,1.0,1.0,716,402,3.3,A1,A,medium
T03,baseline,3,1,0.67,1.0,479,369,4.88,A1,A,medium
T03,baseline,4,1,0.67,1.0,563,388,3.3,A1,A,medium
T03,baseline,5,1,0.67,1.0,457,367,2.77,A1,A,medium
T03,chain-of-thought,1,1,1.0,1.0,1871,780,5.75,A1,A,medium
T03,chain-of-thought,2,1,1.0,1.0,2304,875,9.11,A1,A,medium
T03,chain-of-thought,3,1,1.0,1.0,2014,789,7.69,A1,A,medium
T03,chain-of-thought,4,1,1.0,1.0,1587,709,4.92,A1,A,medium
T03,chain-of-thought,5,1,1.0,1.0,2614,962,7.88,A1,A,medium
T03,arc-informed,1,1,1.0,1.0,2624,1012,8.59,A1,A,medium
T03,arc-informed,2,1,1.0,1.0,3061,1072,9.52,A1,A,medium
T03,arc-informed,3,1,1.0,1.0,2544,951,15.2,A1,A,medium
T03,arc-informed,4,1,1.0,1.0,2913,1003,11.06,A1,A,medium
T03,arc-informed,5,1,1.0,1.0,2765,1035,8.72,A1,A,medium
T04,baseline,1,1,1.0,1.0,1409,557,15.73,A1,A,medium
T04,baseline,2,1,1.0,1.0,1141,510,4.59,A1,A,medium
T04,baseline,3,1,1.0,1.0,1272,535,6.22,A1,A,medium
T04,baseline,4,1,1.0,1.0,1232,530,8.98,A1,A,medium
T04,baseline,5,1,1.0,1.0,1416,560,8.98,A1,A,medium
T04,chain-of-thought,1,1,1.0,1.0,3075,997,12.19,A1,A,medium
T04,chain-of-thought,2,1,1.0,1.0,2622,887,9.72,A1,A,medium
T04,chain-of-thought,3,1,1.0,1.0,2427,865,10.92,A1,A,medium
T04,chain-of-thought,4,1,0.66,1.0,2337,850,14.31,A1,A,medium
T04,chain-of-thought,5,1,1.0,1.0,2456,881,12.09,A1,A,medium
T04,arc-informed,1,1,1.0,1.0,2584,963,13.92,A1,A,medium
T04,arc-informed,2,1,1.0,1.0,3023,1036,14.06,A1,A,medium
T04,arc-informed,3,1,1.0,1.0,2686,963,17.81,A1,A,medium
T04,arc-informed,4,1,1.0,1.0,2871,1000,15.48,A1,A,medium
T04,arc-informed,5,1,1.0,1.0,2693,978,13.42,A1,A,medium
T05,baseline,1,1,1.0,1.0,1137,503,5.36,A1,A,hard
T05,baseline,2,1,1.0,1.0,1134,503,3.75,A1,A,hard
T05,baseline,3,1,1.0,1.0,1147,511,3.23,A1,A,hard
T05,baseline,4,1,1.0,1.0,1146,505,3.64,A1,A,hard
T05,baseline,5,1,1.0,1.0,1148,503,5.3,A1,A,hard
T05,chain-of-thought,1,1,1.0,1.0,1946,762,20.12,A1,A,hard
T05,chain-of-thought,2,1,1.0,1.0,2815,946,14.2,A1,A,hard
T05,chain-of-thought,3,1,1.0,1.0,2561,867,12.2,A1,A,hard
T05,chain-of-thought,4,1,1.0,1.0,2399,832,9.17,A1,A,hard
T05,chain-of-thought,5,1,1.0,1.0,2292,815,9.25,A1,A,hard
T05,arc-informed,1,1,1.0,1.0,2955,1013,13.86,A1,A,hard
T05,arc-informed,2,1,1.0,1.0,2920,1000,11.44,A1,A,hard
T05,arc-informed,3,1,1.0,1.0,2845,986,12.89,A1,A,hard
T05,arc-informed,4,1,1.0,1.0,2825,984,16.66,A1,A,hard
T05,arc-informed,5,1,1.0,1.0,2857,995,16.34,A1,A,hard
T06,baseline,1,1,1.0,1.0,1443,776,6.03,A2,A,easy
T06,baseline,2,1,1.0,1.0,1377,715,8.11,A2,A,easy
